gene,day0_rep1,day0_rep2,day0_rep3,day1_rep1,day1_rep2,day1_rep3,day2_rep1,day2_rep2,day2_rep3,day4_rep1,day4_rep2,day4_rep3,day5_rep1,day5_rep2,day11_rep1,day11_rep2,day11_rep3,day18_rep1,day18_rep2,day18_rep3
WBP1LP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEPT14P13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CICP7,0,1,0,1,4,2,0,0,0,0,3,4,2,0,2,3,1,0,1,3
RP4-669L17.8,162,153,259,282,322,292,165,178,188,353,339,272,553,311,437,374,520,470,335,307
U6,4,3,2,8,2,13,3,2,2,6,1,3,8,7,16,21,17,1,5,9
RP5-857K21.1,5,10,3,10,6,13,2,7,11,10,10,10,24,11,12,16,15,11,12,33
RP5-857K21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
RP5-857K21.3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
RP5-857K21.4,8,13,14,16,13,14,15,10,9,20,21,17,31,18,30,19,15,23,22,27
RP5-857K21.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,0,0
MTND1P23,37,23,51,68,45,37,25,33,16,60,39,39,114,63,85,61,116,83,75,76
MTND2P28,7719,8422,10381,13069,11943,10758,6089,6269,5887,12832,12021,9619,23226,11005,14828,10573,16461,17073,15995,15294
AC114498.1,118,45,115,271,227,212,84,129,79,546,291,260,337,176,335,341,348,370,433,379
RP5-857K21.6,2065,2292,2683,3543,3077,2811,1826,1608,1718,4287,3639,2874,6137,3094,4613,3964,4771,4962,4447,4636
MIR6723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-857K21.7,63,76,79,84,63,81,46,49,35,74,73,49,136,59,110,75,165,129,118,121
MTATP8P1,3,2,3,9,5,0,2,0,1,6,8,0,3,0,4,2,3,1,1,6
MTATP6P1,17023,19727,23099,24745,23934,22252,10430,10568,10281,21021,19499,15996,39044,18495,30865,22706,33734,27638,27016,26463
RP5-857K21.11,69,97,105,116,130,99,46,45,51,93,91,79,188,80,224,119,243,196,151,165
WBP1LP6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
CICP3,1,7,12,34,10,8,15,2,2,10,14,8,18,17,28,52,38,22,20,17
RP11-206L10.1,68,56,100,109,154,132,63,60,69,147,124,91,247,144,170,116,205,187,140,159
RP11-206L10.3,458,571,604,991,740,697,415,402,364,934,978,749,1862,921,1005,741,1005,1057,945,858
RNU6-1199P,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
RP11-206L10.5,2,1,7,15,13,5,4,7,5,8,11,1,27,15,6,11,12,14,22,21
RP11-206L10.4,2,4,10,32,16,8,3,2,4,12,9,15,26,10,15,29,14,6,2,10
RP11-206L10.2,80,105,114,176,153,154,131,105,81,181,192,199,360,200,180,113,211,316,283,184
RP11-206L10.9,51,91,116,234,168,169,68,91,67,122,138,90,223,117,238,283,235,156,142,160
RP11-206L10.8,4,14,20,38,25,34,9,14,11,32,24,19,62,16,40,38,51,43,23,30
FAM87B,9,10,15,28,26,31,12,4,4,21,25,16,34,17,31,41,63,20,11,33
LINC01128,898,1137,1182,2324,2415,2230,1013,844,1014,2043,2039,1642,4145,2126,3778,5747,4457,2366,1999,2030
LINC00115,21,25,31,40,47,37,18,21,22,32,26,17,41,26,61,55,79,45,46,35
FAM41C,1,6,6,8,11,5,4,2,4,7,7,2,12,6,16,12,7,5,5,9
TUBB8P11,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,1,1,0,0,4
RP11-54O7.16,20,22,17,200,202,146,33,45,38,95,70,68,168,103,350,297,381,106,85,74
RP11-54O7.1,89,90,160,1242,1078,1027,206,234,230,610,523,459,1125,691,2117,1738,2314,597,420,442
RP11-54O7.2,1,0,0,1,2,2,0,0,0,0,3,0,0,0,0,1,2,0,0,0
RP11-54O7.3,97,78,95,1111,1176,1123,192,180,194,580,472,374,1110,660,2187,2068,2597,348,334,328
SAMD11,38,28,51,450,457,435,41,45,43,98,91,75,394,244,615,793,680,51,47,29
NOC2L,5319,5024,7475,6725,6534,5978,4087,4138,4285,9344,9079,7337,14862,7868,7759,8041,9286,10445,9625,8776
KLHL17,649,500,829,915,955,983,540,659,713,982,921,821,1750,1005,1438,1400,1657,1415,1191,1067
AL645608.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLEKHN1,6,6,4,15,10,4,2,2,4,12,6,7,16,8,11,33,5,14,15,13
PERM1,6,2,4,11,2,0,3,4,0,2,5,3,8,5,20,25,6,12,13,10
RP11-54O7.17,76,52,145,1134,1102,985,438,564,576,1484,1358,1032,1194,613,1446,1895,1533,1108,964,906
HES4,501,361,712,2917,4279,3409,1778,1994,2075,3871,3773,2616,4159,2331,5021,5903,5262,3232,3202,3006
ISG15,225,159,254,210,228,200,144,155,211,349,323,234,517,250,306,439,345,427,413,360
RP11-54O7.10,0,1,1,15,21,9,4,9,4,21,20,21,23,9,22,23,30,25,17,11
RP11-54O7.11,9,13,6,62,54,52,27,47,60,109,83,73,91,68,113,212,109,116,56,67
AGRN,11999,9239,17142,29750,32085,27281,12072,13825,14477,26306,25102,18855,38747,21875,50126,47188,57513,28913,26426,23064
RP11-54O7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-465B22.3,54,38,56,133,117,89,101,69,80,164,121,105,267,182,140,174,117,149,161,166
RP11-54O7.18,1,7,8,3,14,9,8,12,22,16,18,24,30,32,8,9,16,20,24,11
RNF223,1,0,0,4,0,0,3,4,4,7,1,2,5,11,2,18,5,5,2,2
C1orf159,981,826,1398,1740,1688,1548,641,816,691,1523,1569,1210,2807,1510,2418,2282,2669,1898,1789,1432
LINC01342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-465B22.8,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
TTLL10-AS1,0,0,0,0,0,1,2,0,0,0,2,0,0,2,0,2,2,0,0,0
TTLL10,0,0,0,2,2,2,0,0,0,0,0,0,0,0,4,4,0,2,0,0
TNFRSF18,2,0,1,4,0,0,2,6,1,10,0,1,11,9,2,1,0,0,7,3
TNFRSF4,3,2,2,2,0,4,2,5,0,2,0,2,2,4,2,2,2,5,6,0
SDF4,3873,3099,5252,5358,5738,5288,3262,3456,3612,7340,6963,5476,11146,5853,7374,7597,8484,7392,6786,6164
B3GALT6,1660,1549,2349,2575,2995,2649,1460,1637,1566,3691,3725,2858,5278,2834,3675,3648,4221,3494,3341,3251
FAM132A,30,28,42,50,58,83,25,20,28,54,76,52,120,60,67,135,85,68,65,39
RP5-902P8.12,17,14,19,42,23,22,16,8,7,32,35,20,39,26,51,59,34,26,11,21
UBE2J2,2486,2276,3375,3361,3512,3041,1746,1773,1982,3941,3542,2807,6370,3285,4220,4714,5087,4457,4380,3869
RP5-902P8.10,11,15,12,53,55,52,39,37,35,65,65,44,133,59,108,63,78,76,67,50
SCNN1D,132,74,165,446,534,512,190,233,229,558,613,458,1021,574,613,414,729,557,510,388
ACAP3,3459,3220,5253,12477,12569,12435,3802,4211,4255,8167,8193,6276,16641,9809,17683,15419,19529,9066,7527,6834
MIR6726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PUSL1,561,400,717,573,576,500,342,434,424,745,721,603,1131,648,705,584,800,955,875,794
CPSF3L,3544,3354,4893,6746,6560,6189,3971,4254,4351,8715,8413,6563,12692,6877,8680,9197,10042,10217,9181,8181
MIR6727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-890O3.9,165,173,203,299,274,294,183,184,190,389,356,309,574,276,444,371,485,408,397,324
CPTP,773,569,1056,1001,1197,1058,673,724,788,1460,1338,1031,2090,1085,1785,1874,2220,1574,1551,1318
TAS1R3,36,23,50,106,116,84,48,67,72,139,130,101,217,128,177,233,195,122,112,80
DVL1,2005,1631,2957,3259,3430,2947,2124,2335,2460,4627,4324,3263,6887,3734,5293,6847,6061,5050,4738,4157
MIR6808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MXRA8,459,372,675,721,810,687,643,683,789,1349,1406,1085,2306,1224,992,564,921,1268,1259,1128
AURKAIP1,2387,2043,3344,2492,2774,2500,1592,1774,1849,3645,3407,2820,5389,2887,3187,3137,3740,4074,4468,3677
RP5-890O3.3,1,0,1,7,6,7,0,2,0,6,5,2,7,2,3,4,5,2,7,4
CCNL2,9348,10648,13240,20600,20054,19666,11107,11682,11716,22659,22381,18030,39364,20103,25725,24322,29579,28695,23643,22607
RP4-758J18.2,823,797,1158,1581,1658,1563,743,848,875,1695,1845,1392,3076,1611,2146,1487,2372,2172,1985,1744
MRPL20,2419,2891,3318,2692,2720,2572,1432,1385,1364,3143,3132,2415,5544,2556,3236,2794,3764,3632,3584,3197
RN7SL657P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-758J18.13,95,158,193,239,173,210,124,150,105,178,165,144,432,233,273,257,370,254,197,230
ANKRD65,18,7,24,57,64,59,53,70,50,72,52,35,133,100,109,114,126,144,98,79
RP4-758J18.7,1,0,4,13,6,6,9,6,5,8,13,1,27,5,14,22,10,18,17,11
TMEM88B,4,8,6,18,8,6,21,21,20,26,7,16,30,25,33,49,44,27,28,26
RP4-758J18.10,0,6,5,3,0,2,4,2,2,2,5,0,4,0,0,2,0,0,6,3
VWA1,272,179,322,237,259,203,140,208,228,314,277,243,656,303,202,346,284,485,434,473
ATAD3C,5,7,17,16,9,8,5,17,7,17,12,43,28,15,14,41,8,15,11,8
ATAD3B,1871,1636,2580,1871,1906,1771,1041,1078,1228,2390,2271,1644,3750,1979,2522,2228,2835,2762,2607,2301
ATAD3A,2097,1653,3175,1718,1623,1727,949,1121,1155,2488,2505,1916,3435,2001,2173,1468,2447,2720,2442,2362
TMEM240,78,30,70,196,192,170,60,69,74,146,133,93,222,122,294,338,378,128,145,145
SSU72,4548,4904,5960,5710,5722,5272,2924,2984,3070,7067,6693,5349,10621,5372,7059,8281,8404,7221,6894,6388
RP5-832C2.5,50,55,68,88,87,78,24,40,39,80,100,87,198,99,93,75,128,99,99,81
AL645728.1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0
RP11-345P4.11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Metazoa_SRP,149,215,258,1138,374,370,151,134,94,303,306,273,623,272,716,751,598,344,457,250
C1orf233,257,188,407,632,675,658,362,368,390,1110,996,832,1564,807,1124,1068,1281,746,719,700
RP11-345P4.9,421,516,632,1551,1593,1468,560,597,614,1361,1378,1032,2782,1426,2295,1893,2638,1527,1478,1244
MIB2,877,796,1194,2947,3121,2796,1824,1881,2154,3329,3162,2458,5240,2872,5055,5163,5362,4835,4406,3767
MMP23B,39,24,48,35,37,57,42,33,48,65,70,38,96,52,56,62,52,135,98,78
CDK11B,1728,1799,2440,2505,2603,2333,1507,1534,1576,3034,3096,2364,4939,2477,3316,3432,3904,3923,3667,3255
RP11-345P4.10,0,1,4,4,5,5,1,2,0,2,4,2,8,4,3,2,11,0,3,1
SLC35E2B,5162,5450,7057,17186,16992,15243,4917,5548,5176,13698,12857,10015,22727,12347,24618,22511,27816,13701,12203,11529
RP11-345P4.7,99,100,127,227,185,190,60,73,70,164,195,101,270,159,258,200,282,161,172,151
RP11-345P4.6,9,45,42,63,51,31,11,17,24,52,43,37,95,51,85,69,85,69,51,39
MMP23A,2,1,0,3,0,1,1,1,2,3,2,1,1,1,0,1,1,0,3,0
CDK11A,97,90,135,183,169,112,116,105,92,195,154,134,287,166,187,179,244,228,171,161
RP1-283E3.8,101,108,154,331,269,296,64,81,71,240,236,175,364,224,403,355,422,198,202,129
RP1-283E3.4,239,232,347,1228,1056,980,265,289,280,644,560,527,1124,612,1534,1435,1789,658,679,573
SLC35E2,274,269,391,1289,1107,1035,341,306,308,751,793,629,1315,764,1725,1477,1919,757,714,751
NADK,2737,2763,3805,3615,3773,3528,2048,2337,2343,4633,4615,3474,7085,3877,5601,4530,6206,5611,5051,4804
GNB1,29339,34104,40340,44440,44206,41033,23857,22922,24591,48663,47137,37598,82535,41392,65828,73056,76158,53232,49384,46296
RP1-140A9.1,13,9,38,38,32,43,22,13,13,36,57,25,60,37,72,31,73,42,34,32
CALML6,0,4,4,9,13,4,12,14,10,6,10,12,30,14,7,17,16,13,28,12
TMEM52,22,12,24,27,26,27,30,12,17,48,54,34,60,60,36,16,33,50,51,40
CFAP74,6,3,9,16,9,12,10,6,5,15,9,18,17,9,17,16,18,11,5,9
RP11-547D24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
GABRD,0,4,2,4,7,4,2,2,0,8,0,2,23,12,4,7,5,4,2,8
RP11-547D24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRKCZ,81,149,135,843,720,714,120,113,117,282,347,204,736,359,1564,1963,1885,288,262,258
RP5-892K4.1,0,0,0,20,4,9,1,2,0,10,4,0,8,5,24,10,20,2,8,2
RP11-181G12.2,120,100,156,297,328,296,126,161,152,261,265,238,581,336,498,445,626,294,255,231
FAAP20,1869,1542,2755,2417,2688,2315,1674,1897,1865,3485,3373,2610,5304,2817,2985,2840,3411,3927,3868,3560
RP11-181G12.4,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,3,1,0,1,0
AL590822.1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
SKI,6456,5992,8927,9488,9053,8216,5256,5499,5792,11543,11339,8962,17366,9113,10741,12403,12375,13457,12819,11599
MORN1,326,321,516,1018,926,876,554,524,476,1242,1197,852,1793,865,1205,1011,1352,1333,1253,1082
RP4-713A8.1,1,0,0,12,14,11,10,12,8,14,14,8,10,16,7,9,17,2,10,4
RP4-740C4.5,91,136,156,468,534,436,224,243,267,697,708,535,1025,495,561,437,702,658,619,589
RP4-740C4.7,6,3,7,38,42,25,11,9,11,24,42,23,50,26,45,59,58,40,23,35
RER1,2984,3642,4039,4058,3751,3739,2681,2602,3058,5397,5470,4419,8818,4429,5658,6046,6360,6425,5652,5374
PEX10,935,921,1290,1332,1420,1160,686,813,810,1640,1626,1257,2606,1391,1651,1153,2003,1890,1765,1699
PLCH2,23,26,53,382,427,397,65,87,49,201,176,173,443,279,1063,1206,1322,137,140,89
RP3-395M20.2,4,0,2,11,16,19,8,6,0,8,10,5,16,5,22,13,13,4,4,2
RP3-395M20.3,2,2,0,22,20,11,2,1,2,11,16,4,26,23,9,13,30,0,4,0
PANK4,1293,1257,1854,1901,2000,1988,1060,1128,1038,2405,2309,1928,3831,1852,3051,2832,3430,2504,2330,1998
HES5,93,102,165,3240,3396,3059,520,653,558,1602,1539,1109,1783,954,4025,2712,4714,1955,1724,1500
RP3-395M20.12,28,21,41,419,419,356,91,74,88,177,217,158,186,115,484,306,567,284,211,202
RP3-395M20.8,2,0,6,4,8,8,4,10,10,11,14,8,12,6,18,77,29,12,28,13
TNFRSF14,17,9,42,16,34,37,14,22,23,16,31,16,60,47,34,76,38,84,92,66
RP3-395M20.7,0,0,0,3,0,2,0,0,2,3,6,2,2,4,0,4,10,4,0,3
RP3-395M20.9,3,2,0,6,0,2,3,3,3,3,2,0,10,6,1,8,6,4,3,6
FAM213B,1625,1438,2295,2922,3176,2831,1571,1725,1749,4035,3910,2937,5501,2934,4280,3781,4726,4513,4043,3687
MMEL1,0,0,0,3,4,2,2,0,0,4,5,4,11,7,12,7,9,5,1,5
RP13-436F16.1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
TTC34,14,35,21,69,49,70,42,33,44,94,106,56,100,44,70,84,118,66,40,51
RP11-740P5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
RP11-740P5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
LINC00982,2,4,11,67,65,69,9,23,11,55,37,32,61,25,231,119,224,23,26,22
PRDM16,57,57,63,672,641,602,305,259,363,527,550,427,671,371,1372,1516,1629,653,561,496
RP1-163G9.2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0
RP11-193J6.1,1,0,2,2,0,0,2,0,0,0,2,0,0,0,2,5,4,0,2,0
RP11-22L13.1,0,0,0,2,0,0,0,2,0,2,0,0,2,1,0,6,2,0,4,0
ARHGEF16,190,156,227,125,132,127,102,90,116,236,258,228,452,198,71,46,93,353,318,272
RP11-168F9.2,0,2,0,3,4,5,0,2,2,7,0,0,4,4,7,4,0,2,5,0
MEGF6,561,469,951,1169,1193,1108,507,614,649,1127,1112,907,1622,917,893,204,1027,1695,1336,1267
MIR551A,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-46F15.2,4,8,14,18,13,2,6,4,11,14,16,22,25,10,17,20,31,37,7,26
TPRG1L,643,658,814,1789,1802,1729,1067,986,1036,2070,1993,1661,3294,1719,2639,3457,3019,2022,1815,1791
WRAP73,945,948,1337,1530,1539,1475,961,971,930,1828,1897,1445,3141,1628,2040,1845,2367,2157,1924,1756
TP73,34,36,55,127,97,65,51,47,44,140,120,98,162,96,134,46,110,169,149,135
RP5-1092A11.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
RP5-1092A11.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
TP73-AS1,2860,2987,3885,4732,4723,4232,2513,2511,2546,5899,5695,4536,9421,4671,5802,4851,6545,5920,5155,4697
CCDC27,6,1,5,14,9,15,14,1,3,16,14,16,31,11,10,38,11,26,26,24
SMIM1,33,31,43,26,13,25,30,15,31,27,56,31,78,26,8,14,9,62,70,59
LRRC47,2369,2473,3374,4565,4726,4402,2320,2292,2471,5249,5208,3956,8441,4466,6160,7082,7422,5835,5225,5017
RN7SL574P,4,4,2,6,13,1,4,0,2,4,6,0,10,6,1,4,4,5,6,2
RP1-286D6.5,22,48,40,70,48,50,37,33,40,51,83,60,146,73,88,132,110,74,66,49
CEP104,1298,1446,1793,2744,2670,2556,1742,1656,1712,3188,3316,2504,5486,2903,4332,5250,4958,4106,3570,3574
DFFB,268,308,351,495,562,557,335,314,371,771,727,528,1176,619,912,862,997,897,760,717
C1orf174,1490,1964,2375,1793,1751,1637,1205,1253,1239,2543,2586,2167,3770,1836,2088,2221,2523,3115,2855,2639
LINC01134,14,6,10,9,1,8,13,7,4,7,3,4,11,12,17,29,17,20,21,16
LINC01346,0,1,0,2,4,2,0,0,0,2,0,0,0,0,2,11,9,1,0,0
RP13-614K11.2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EEF1DP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RP5-1166F10.1,2,2,2,0,2,4,4,0,0,4,0,0,2,2,0,0,0,6,4,0
RP1-37J18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
RP1-37J18.2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
AJAP1,28,31,54,46,28,35,22,16,27,41,39,16,56,35,120,144,138,35,44,44
AL137795.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-542C10.1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
RP1-58B11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4417,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RP11-154H17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
AL356693.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4689,0,0,0,1,2,0,0,0,0,0,2,0,0,0,1,0,2,1,2,0
NPHP4,824,803,1293,2063,1819,1864,694,717,734,1909,1860,1564,2698,1515,2886,2860,3185,1955,1693,1432
AL356261.1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0
KCNAB2,82,65,98,558,592,548,131,161,191,553,546,374,766,480,1007,1279,1233,414,359,314
CHD5,13,8,18,349,357,333,43,51,50,132,150,143,416,225,2614,2493,2810,92,68,64
RPL22,10712,14085,13927,33843,32311,31130,16055,15071,15616,40020,38178,30689,62007,28216,38386,41503,44464,33198,29478,27790
RP1-120G22.11,3,7,9,17,27,24,6,7,3,33,21,33,52,12,14,34,27,19,25,17
RNF207,89,93,164,279,255,243,165,198,150,423,401,358,738,406,385,484,541,545,441,460
ICMT,4522,5399,5985,4809,4749,4340,3780,3686,3725,9173,9104,7150,12378,5974,5041,4943,5803,9448,8472,7688
LINC00337,16,25,10,17,20,11,10,15,9,37,42,30,51,30,10,12,17,29,45,41
HES3,111,99,128,1197,1348,1085,427,529,504,1473,1648,1143,2738,1423,706,216,795,1324,1281,1170
GPR153,1346,1113,1889,6547,7355,6231,2300,2540,2431,6267,6060,4620,9407,4974,10390,9325,11977,6352,5712,5291
ACOT7,5909,5298,7855,6343,6681,5965,3097,3031,3476,6781,6235,4999,12022,6313,9942,9569,11649,7400,6888,6129
RP1-202O8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HES2,6,10,8,35,35,41,9,6,4,14,8,14,49,32,49,42,59,18,8,9
ESPN,19,16,41,105,140,135,34,26,36,46,55,31,119,71,350,588,381,68,85,72
MIR4252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1-202O8.2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,1,0,0
TNFRSF25,478,452,649,900,888,844,609,612,553,948,881,759,1660,921,1461,1568,1682,1432,1196,1247
PLEKHG5,1430,1254,2141,2347,2412,2278,1236,1277,1376,2435,2279,1862,4166,2280,3748,4189,4410,3506,3144,2878
NOL9,1638,1965,2337,3653,2858,2722,1158,1214,1171,2521,2653,2059,4736,2397,3734,3663,3833,3639,3599,2694
RNU6-731P,0,0,1,1,1,0,0,0,0,0,0,2,1,0,0,3,0,0,6,0
RP11-58A11.2,2,23,18,26,15,18,6,6,11,12,15,13,29,21,31,25,38,9,34,15
TAS1R1,1,2,7,4,2,2,0,0,0,4,0,0,6,12,5,8,4,2,6,6
ZBTB48,787,786,1018,1676,1620,1587,881,953,865,1982,1842,1471,3230,1711,2073,1979,2532,2280,1924,1821
KLHL21,2212,2133,3011,2454,2499,2183,1708,1836,1963,3722,3739,2801,6255,3362,2944,3796,3441,5170,4822,4356
PHF13,2300,2577,3362,2347,2336,2160,1672,1712,1777,3685,3576,2927,5052,2548,2985,2326,3351,4039,3746,3563
THAP3,548,484,730,959,930,901,433,562,541,1114,916,777,1579,864,1417,1652,1466,1388,1224,1075
DNAJC11,2990,3647,4067,3682,3454,3289,2013,2006,2125,4903,4602,3637,7700,3741,4225,4386,4940,5478,4992,4750
RP11-242F24.1,0,0,0,1,0,4,0,0,0,1,0,0,0,0,5,4,0,0,3,0
RP11-312B8.1,10,20,15,34,28,29,7,4,13,26,9,17,42,18,28,11,27,26,37,27
CAMTA1,1836,2238,2602,7099,6838,6622,1772,1939,1795,4611,4308,3761,9890,4920,11506,10645,13316,4242,3597,3645
RP11-312B8.2,0,0,2,6,0,0,2,0,0,0,0,0,1,2,5,6,2,0,2,0
RP11-334N17.1,0,0,0,3,2,0,0,0,2,0,2,0,2,0,0,2,0,0,0,0
RNU1-8P,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Z98052.1,0,0,2,1,1,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0
CAMTA1-IT1,1,4,4,2,5,4,3,0,3,3,4,1,12,4,9,4,3,3,3,3
RP3-453P22.2,0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,0
RP4-549F15.1,0,0,4,0,2,0,0,0,0,3,0,2,2,0,4,0,4,0,2,0
